id,text,language,llm_prediction
msg_0047,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Accra hɔ.",ak,YES
msg_0048,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Eyi rekyɛ m’akwantu nhyehyɛe na mihia mmoa ntɛm ara.",ak,YES
msg_0049,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Mesan nso yii me cache no fii hɔ na meda so ara hyiaa ɔhaw koro no ara.",ak,YES
msg_0050,"Be fɛɛ be ni makliki nyɔmɔwoo nɔ lɛ, baafa lɛ shwieɔ shi loo etsɔɔ tɔmɔ ko ni nibii ni akɛtsuɔ nii lɛ eyaaa mli. Mijieɔ mi cache lɛ hu ni mikɛ naagba nɛɛ nɔŋŋ kpeɔ lolo.",ga,YES
msg_0051,"The system is not allowing me to complete my payment for the application. There was no clear error code, just a generic failure message.",en,YES
msg_0052,"Mibɔ mɔdɛŋ shii abɔ ŋmɛnɛ shi portal lɛ yaa nɔ ekpooɔ nibii ni akɛtsuɔ nii lɛ. Ofainɛ, ye obua mi koni matsu enɛ he nii koni maya nɔ matsu mibimɔ lɛ he nii.",ga,YES
msg_0053,Mete fexexe kpɔ zi geɖe egbea gake agbo la yi edzi le asitsatsa la gbem. Esia le nye mɔzɔzɔ ƒe ɖoɖowo hem ɖe megbe eye mehiã kpekpeɖeŋu kpata.,ew,YES
msg_0054,Mete fexexe kpɔ zi geɖe egbea gake agbo la yi edzi le asitsatsa la gbem. Esia le nye mɔzɔzɔ ƒe ɖoɖowo hem ɖe megbe eye mehiã kpekpeɖeŋu kpata.,ew,YES
msg_0055,"Each time I click pay, the page either freezes or shows an error and the transaction does not go through. I am doing this from Accra using a stable internet connection.",en,YES
msg_0056,"The system is not allowing me to complete my payment for the application. There was no clear error code, just a generic failure message.",en,NO
msg_0057,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Mabɔ mmɔden sɛ mede browser ahorow bedi dwuma nanso asɛm no da so ara wɔ hɔ.",ak,YES
msg_0058,I am trying to pay the passport fee but the payment keeps failing on the portal. I have tried using different browsers but the issue remains.,en,YES
msg_0059,Nuɖoanyia mele mɔ ɖem nam be mawu nye fexexe ɖe dɔbiagbalẽvia ta nu o. Mekɔ nye cache hã ŋu eye medze ŋgɔ kuxi ma ke kokoko.,ew,YES
msg_0060,"Nye kaɖi kple MOMO le dɔ wɔm le teƒe bubuwo, gake le mɔzɔgbalẽa ƒe mɔnu la, nyemate ŋu axe fea o. Taflatse kpɔe ɖa le wò axadzi nenye be ɖoɖo aɖe li.",ew,YES
msg_0061,I am trying to pay the passport fee but the payment keeps failing on the portal. This is delaying my travel plans and I need urgent help.,en,YES
msg_0062,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Yɛsrɛ sɛ hwɛ fi wo nkyɛn sɛ nhyehyɛe bi wɔ hɔ a wɔde ma a.",ak,YES
msg_0063,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Na mfomso ho mmara biara nni hɔ a emu da hɔ, mfomso ho nkrasɛm a wɔde di dwuma wɔ ɔkwan a ɛkɔ akyiri so ara kwa.",ak,YES
msg_0064,"Ɣesiaɣi si mezi fetu dzi la, axaa tsia tsikpe alo ɖea vodada aɖe fiana eye asitsatsa la metoa eme o. Vodada ƒe kɔpi aɖeke menɔ anyi si me kɔ o, si nye kpododonu ƒe gbedasi si wozãna le mɔ gbadza nu ko.",ew,NO
msg_0065,Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Mabɔ mmɔden sɛ mede browser ahorow bedi dwuma nanso asɛm no da so ara wɔ hɔ.,ak,YES
msg_0066,Mabɔ mmɔden sɛ mɛtua ka mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Kindly boa me ma misiesie eyi sɛnea ɛbɛyɛ a metumi atoa m’akwammisa krataa no so.,ak,YES
msg_0067,"Each time I click pay, the page either freezes or shows an error and the transaction does not go through. I have tried using different browsers but the issue remains.",en,YES
msg_0068,"Each time I click pay, the page either freezes or shows an error and the transaction does not go through. This is delaying my travel plans and I need urgent help.",en,YES
msg_0069,Nhyehyɛe no mma me kwan sɛ menwie m’akatua wɔ akwammisa krataa no ho. Mebɔɔ mmɔden mpo sɛ mede laptop foforo bedi dwuma nanso biribiara ansakra.,ak,YES
msg_0070,"Mimiitao ni mawo passport lɛ he nyɔmɔ, shi nyɔmɔwoo lɛ yeee omanye yɛ portal lɛ nɔ. Ofainɛ ye obua mi ni matsu enɛ he nii koni maya nɔ matsu mibimɔ lɛ he nii.",ga,YES
msg_0071,Mabɔ mmɔden sɛ mɛtua ka mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Mesan nso yii me cache no fii hɔ na meda so ara hyia ɔhaw koro no ara.,ak,YES
msg_0072,Mabɔ mmɔden sɛ mɛtua sika mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Mabɔ mmɔden sɛ mede browser ahorow bedi dwuma nanso asɛm no da so ara wɔ hɔ.,ak,YES
msg_0073,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Na mfomso koodu biara nni hɔ a emu da hɔ, mfomso nkrasɛm a wɔde di dwuma wɔ ɔkwan a ɛkɔ akyiri so ara kwa.",ak,YES
msg_0074,Mabɔ mmɔden sɛ mɛtua ka mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Accra hɔ.,ak,YES
msg_0075,Gbɛjianɔtoo lɛ eŋmɛɛɛ mi gbɛ ni magbe minyɔmɔwoo kɛha nibimɔ lɛ naa. Mikɛ ŋmɛlɛtswai enyɔ ebɔ mɔdɛŋ ni maye omanye.,ga,YES
msg_0076,"Nuɖoanyia mele mɔ ɖem nam be mawu nye fexexe ɖe dɔwɔnua ta nu o. Vodada ƒe kɔpi aɖeke menɔ anyi si me kɔ o, si nye kpododonu ƒe gbedasi si wozãna le mɔ gbadza nu ko.",ew,YES
msg_0077,Mabɔ mmɔden sɛ mɛtua sika mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Eyi fii ase sii anɔpa yi.,ak,YES
msg_0078,Mabɔ mmɔden sɛ mɛtua sika mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Mabɔ mmɔden nnɔnhwerew abien a atwam ni a entumi nyɛ yiye.,ak,YES
msg_0079,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Eyi fii ase sii anɔpa yi.",ak,YES
msg_0080,"Mimiitao ni mawo passport lɛ he nyɔmɔ, shi nyɔmɔwoo lɛ yeee omanye yɛ portal lɛ nɔ. Mikɛ ŋmɛlɛtswai enyɔ ni eho lɛ ebɔ mɔdɛŋ ni miye omanye.",ga,YES
msg_0081,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Accra hɔ.",ak,YES
msg_0082,miibɔ mɔdɛŋ ni mawo passport lɛ he nyɔmɔ shi nyɔmɔwoo lɛ yaa nɔ yɛ portal lɛ nɔ. Mikɛ intanɛt ni yɔɔ shiŋŋ miitsu enɛ he nii kɛmiijɛ Accra.,ga,YES
msg_0083,Mabɔ mmɔden sɛ mɛtua sika mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Mabɔ mmɔden sɛ mede browser ahorow bedi dwuma nanso asɛm no da so ara wɔ hɔ.,ak,YES
msg_0084,Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Mebɔɔ mmɔden mpo sɛ mede laptop foforo bedi dwuma nanso biribiara ansakra.,ak,YES
msg_0085,"miibɔ mɔdɛŋ ni mawo passport lɛ he nyɔmɔ shi nyɔmɔwoo lɛ yaa nɔ ehiii yɛ portal lɛ nɔ. Tɔmɔ ko bɛ, ni ji shɛɛ sane ko kɛkɛ ni haa mɔ he jɔ̃ɔ ehe.",ga,YES
msg_0086,Nuɖoanyia mele mɔ ɖem nam be mawu nye fexexe ɖe dɔbiagbalẽvia ta nu o. Mekɔ nye cache hã ŋu eye medze ŋgɔ kuxi ma ke kokoko.,ew,YES
msg_0087,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Na mfomso ho mmara biara nni hɔ a emu da hɔ, mfomso ho nkrasɛm a wɔde di dwuma wɔ ɔkwan a ɛkɔ akyiri so ara kwa.",ak,YES
msg_0088,Nhyehyɛe no mma me kwan sɛ menwie m’akatua wɔ akwammisa krataa no ho. Kindly boa me ma midi eyi ho dwuma sɛnea ɛbɛyɛ a metumi atoa m’akwammisa krataa no so.,ak,YES
msg_0089,Mabɔ mmɔden sɛ mɛtua sika mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Yɛsrɛ sɛ hwɛ sɛ nhyehyɛe ho asɛm bi wɔ hɔ a.,ak,YES
msg_0090,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Accra hɔ.",ak,YES
msg_0091,Mabɔ mmɔden sɛ mɛtua ka mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Accra hɔ.,ak,YES
msg_0092,"Each time I click pay, the page either freezes or shows an error and the transaction does not go through. This is delaying my travel plans and I need urgent help.",en,YES
msg_0093,"Each time I click pay, the page either freezes or shows an error and the transaction does not go through. I even tried using another laptop but nothing changed.",en,YES
msg_0094,I have attempted payment several times today but the portal keeps rejecting the transaction. I even tried using another laptop but nothing changed.,en,YES
msg_0095,I am trying to pay the passport fee but the payment keeps failing on the portal. I am doing this from Accra using a stable internet connection.,en,YES
msg_0096,Gbɛjianɔtoo lɛ eŋmɛɛɛ mi gbɛ ni magbe minitsumɔ he nyɔmɔwoo lɛ naa. Mikɛ brauzai srɔtoi ebɔ mɔdɛŋ shi sane lɛ kã he ehi shi.,ga,YES
msg_0097,"Each time I click pay, the page either freezes or shows an error and the transaction does not go through. This started happening this morning.",en,YES
msg_0098,"Mabɔ mmɔden sɛ mɛtua ka mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Na mfomso koodu biara nni hɔ a emu da hɔ, na ɛyɛ generic failution message ara kwa.",ak,YES
msg_0099,Gbɛjianɔtoo lɛ eŋmɛɛɛ mi gbɛ ni magbe minyɔmɔwoo kɛha nibimɔ lɛ naa. Ofainɛ kwɛmɔ ohe nɔ jogbaŋŋ kɛji gbɛjianɔtoo ko yɛ.,ga,YES
msg_0100,Nuɖoanyia mele mɔ ɖem nam be mawu nye fexexe ɖe dɔbiagbalẽvia ta nu o. Esia dze egɔme tso ŋdi sia me.,ew,YES
msg_0101,Mele agbagba dzem be maxe mɔzɔgbalẽfea gake fexexea yi edzi le kpo dom nu le agbo la dzi. Esia dze egɔme tso ŋdi sia me.,ew,YES
msg_0102,Nuɖoanyia mele mɔ ɖem nam be mawu nye fexexe ɖe dɔwɔnua ta nu o. Medze agbagba to web-browser vovovowo zazã me gake nya la gakpɔtɔ li.,ew,YES
msg_0103,Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Mabɔ mmɔden nnɔnhwerew abien a atwam ni a enkosi hwee.,ak,YES
msg_0104,"Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Na mfomso ho mmara biara nni hɔ a emu da hɔ, mfomso ho nkrasɛm a wɔde di dwuma wɔ ɔkwan a ɛkɔ akyiri so ara kwa.",ak,YES
msg_0105,Nhyehyɛe no mma me kwan sɛ menwie m’akatua wɔ akwammisa krataa no ho. Kindly boa me ma midi eyi ho dwuma sɛnea ɛbɛyɛ a metumi atoa m’akwammisa krataa no so.,ak,YES
msg_0106,"My card and MOMO are working elsewhere, but on the passport portal I cannot make the payment. I am doing this from Accra using a stable internet connection.",en,YES
msg_0107,Mabɔ mmɔden sɛ mɛtua ka mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Mesan nso yii me cache no fii hɔ na meda so ara hyia ɔhaw koro no ara.,ak,YES
msg_0108,Mabɔ mmɔden sɛ mɛtua sika mpɛn pii nnɛ nanso portal no kɔ so pow asɛm no. Yɛsrɛ sɛ hwɛ sɛ nhyehyɛe ho asɛm bi wɔ hɔ a.,ak,YES
msg_0109,"Mi kaadi kɛ MOMO miitsu nii yɛ he kroko, shi yɛ passport portal lɛ nɔ lɛ, minyɛɛɛ mawo nyɔmɔ. Mikɛ intanɛt ni yɔɔ shiŋŋ miitsu enɛ he nii kɛjɛ Accra.",ga,YES
msg_0110,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Eyi rekyɛ m’akwantu nhyehyɛe na mihia mmoa ntɛm ara.",ak,YES
msg_0111,Gbɛjianɔtoo lɛ eŋmɛɛɛ mi gbɛ ni magbe minitsumɔ he nyɔmɔwoo lɛ naa. Mikɛ brauzai srɔtoi ebɔ mɔdɛŋ shi sane lɛ kã he ehi shi.,ga,YES
msg_0112,miibɔ mɔdɛŋ ni mawo passport lɛ he nyɔmɔ shi nyɔmɔwoo lɛ yaa nɔ yɛ portal lɛ nɔ. Enɛ miiha mi gbɛfaa he gbɛjianɔtoo lɛ miiba shi ni ehe miihia ni maye mabua oya.,ga,YES
msg_0113,"Each time I click pay, the page either freezes or shows an error and the transaction does not go through. This is delaying my travel plans and I need urgent help.",en,YES
msg_0114,Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Mabɔ mmɔden sɛ mede browser ahorow bedi dwuma nanso asɛm no da so ara wɔ hɔ.,ak,YES
msg_0115,Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Mabɔ mmɔden sɛ mede browser ahorow bedi dwuma nanso asɛm no da so ara wɔ hɔ.,ak,YES
msg_0116,Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa no ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Eyi retwentwɛn m’akwantu nhyehyɛe ase na mihia mmoa ntɛm ara.,ak,YES
msg_0117,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Mabɔ mmɔden sɛ mede browser ahorow bedi dwuma nanso asɛm no da so ara wɔ hɔ.",ak,YES
msg_0118,Nhyehyɛe no mma me kwan sɛ menwie m’akatua wɔ akwammisa krataa no ho. Mede intanɛt nkitahodi a ɛyɛ den na ɛreyɛ eyi afi Nkran.,ak,YES
msg_0119,"The system is not allowing me to complete my payment for the application. There was no clear error code, just a generic failure message.",en,YES
msg_0120,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Mesan nso yii me cache no fii hɔ na meda so ara hyiaa ɔhaw koro no ara.",ak,YES
msg_0121,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Mesan nso yii me cache no fii hɔ na meda so ara hyiaa ɔhaw koro no ara.",ak,YES
msg_0122,"Bere biara a mɛkliki akatua so no, kratafa no yɛ nwini anaasɛ ɛkyerɛ mfomso bi na asɛm no nkɔ mu. Mebɔɔ mmɔden mpo sɛ mede laptop foforo bedi dwuma nanso biribiara ansakra.",ak,YES
msg_0123,Nhyehyɛe no mma me kwan sɛ minwie me ka wɔ application no ho. Mabɔ mmɔden sɛ mede browser ahorow bedi dwuma nanso asɛm no da so ara wɔ hɔ.,ak,YES
msg_0124,"Nye kaɖi kple MOMO le dɔ wɔm le teƒe bubuwo, gake le mɔzɔgbalẽa ƒe mɔnu la, nyemate ŋu axe fea o. Vodada ƒe kɔpi aɖeke menɔ anyi si me kɔ o, si nye kpododonu ƒe gbedasi si wozãna le mɔ gbadza nu ko.",ew,YES
msg_0125,Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa no ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Eyi fii ase sii anɔpa yi.,ak,YES
msg_0126,Mibɔ mɔdɛŋ shii abɔ ŋmɛnɛ shi portal lɛ yaa nɔ ekpooɔ nibii ni akɛtsuɔ nii lɛ. Enɛ je shishi leebi nɛɛ.,ga,YES
msg_0127,Mele agbagba dzem be maxe mɔzɔgbalẽfea gake fexexea yi edzi le kpo dom nu le nyatakakadzraɖoƒea. Mele esia wɔm tso Accra gbɔ to internet kadodo si li ke zazã me.,ew,YES
msg_0128,The system is not allowing me to complete my payment for the application. This is delaying my travel plans and I need urgent help.,en,YES
msg_0129,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Mebɔɔ mmɔden mpo sɛ mede laptop foforo bedi dwuma nanso biribiara ansakra.",ak,YES
msg_0130,The system is not allowing me to complete my payment for the application. This is delaying my travel plans and I need urgent help.,en,YES
msg_0131,Merebɔ mmɔden sɛ mɛtua akwantu tumi krataa ho ka nanso sika a wotua no kɔ so di nkogu wɔ portal no so. Mesan nso yii me cache no fii hɔ na meda so ara hyia ɔhaw koro no ara.,ak,YES
msg_0132,"Me kaad ne MOMO reyɛ adwuma wɔ baabi foforo, nanso wɔ akwantu tumi krataa kwan so no, mintumi ntua sika no. Eyi fii ase sii anɔpa yi.",ak,YES
